"","Insp_Number","Pmt_Number","CREATEDATE","ACTUALENDDATE","SO","Tech_Insp","Phy_Insp","PREFIX_INSPTYPE","DSCP_INSPTYPE","NAME_INSPSTATUS","SO_Evl_1","BCSA_Evl_1","Hzd_Svrty_1","Dscp_Hzd","COMMENTS","VERSIONNUMBER","Dscp_ImChkLstCtgy","AddressLine1_Insp","AddressLine2_Insp","AddressLine3_Insp","StreetType_Insp","City_Insp","Region_Insp","Province_Insp","PostalCode_Insp","Site_Lat","Site_Lon","RAP_Score","AppldDate_Pmt","PM_PERMIT_TYPE","PMTCLASS","PMTSTATUS","Pmt_Holder"
"1","AMOP-510532-2016","UW-334917-2016","1/15/2016","1/19/2016","Cam Surine","AM","Y","AMOP","AM Operating: Operational Assessment","Failed","","","N/A - Not Applicable","This C of I is issued for administrative items, no permit or contractors license. No site visit was conducted before this C of I was issued.","(30 days) As per the requirements of the",1,"Non-Compliances for Amusement Devices Technology","2646184","CORBOULD",NA,"Street","Chilliwack","Lower Mainland South","BC",NA,49.1688156,-121.9655927,NA,"1/15/2016","Unpermitted Work","AM","Closed","Canadian Recreation Excellence (Chilliwack) Corporation"
"2","AMIN-486272-2015","AM-248875-2015","11/27/2015","1/19/2016","David Looney","AM","Y","AMIN","AM Installation: Acceptance Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","","(1 day) Prior to Operation - Install BCSA",1,"Non-Compliances for Amusement Devices Technology","1319","Rosewell",NA,"Avenue","Langford","Vancouver Island","BC","V9B0J2",49.1645297,-122.9935497,NA,"6/1/2015","AM - New Installation","Waterslide","Closed","Whitewater West Industries, Ltd."
"3","AMIN-486279-2015","AM-248878-2015","11/27/2015","1/19/2016","David Looney","AM","Y","AMIN","AM Installation: Acceptance Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","","( 1 day) Prior to operation - Implement a",1,"Non-Compliances for Amusement Devices Technology","1319","Rosewell",NA,"Avenue","Langford","Vancouver Island","BC","V9B0J2",49.1645297,-122.9935497,NA,"6/1/2015","AM - New Installation","Waterslide","Closed","Whitewater West Industries, Ltd."
"4","AMOP-520280-2016","UW-334917-2016","2/1/2016","2/2/2016","Cam Surine","AM","Y","AMOP","AM Operating: Operational Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","","(1 Day) Submit to the BC Safety Authority",1,"Non-Compliances for Amusement Devices Technology","2646184","CORBOULD",NA,"Street","Chilliwack","Lower Mainland South","BC",NA,49.1688156,-121.9655927,NA,"1/15/2016","Unpermitted Work","AM","Closed","Canadian Recreation Excellence (Chilliwack) Corporation"
"5","AMIN-522993-2016","UW-343296-2016","2/4/2016","2/4/2016","Cam Surine","AM","Y","AMIN","AM Installation: Inflatable Acceptance Audit Assessment","Passed","","","0 - Compliant","","",1,"","","Reemon",NA,"Drive","Kamloops","Interior","BC","v2b6s9",50.7744088,-120.3349986,NA,"2/4/2016","Unpermitted Work","AM","Closed","Jump 'N' Jax Entertainment"
"6","AMIN-523282-2016","AM-343372-2016","2/5/2016","2/5/2016","Cam Surine","AM","Y","AMIN","AM Installation: Inflatable Acceptance Audit Assessment","Passed","","","0 - Compliant","","",1,"","657","Reemon",NA,"Drive","Kamloops","Interior","BC","V2B6S9",50.7744088,-120.3349986,NA,"2/5/2016","AM - New Installation","Inflatable Devices","Closed","Jump 'n' Jax Entertainment"
"7","AMIN-523315-2016","AM-343463-2016","2/5/2016","2/5/2016","Cam Surine","AM","Y","AMIN","AM Installation: Acceptance Assessment","Conditional Passed","","","1 - Insignificant","Checklist 1","""(1 day) Add to the inflatable operations",1,"Non-Compliances for Amusement Devices Technology","","Pioneer",NA,"Street","Agassiz","Lower Mainland South","BC","V0M1A0",NA,NA,NA,"2/5/2016","AM - New Installation","Inflatable Devices","Closed","Kent, Corp Of The District Of"
"8","AMOP-523193-2016","4660602","2/5/2016","2/5/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Incident  Assessment","Conditional Passed","2_Physical Inspection","","0 - Compliant","","""(1 days) So as to ensure that participan",1,"Non-Compliances for Amusement Devices Technology","4910","GLACIER",NA,"Lane","Whistler","Lower Mainland North","BC","V0N1B4",50.1093429,-122.945558,NA,"2/10/2011","AM - Operating","Major Rides","Active","Whistler 2010 Sport Legacies Society"
"9","AMOP-543682-2016","2053153","3/14/2016","3/14/2016","David Looney","AM","N","AMOP","AM Operating: Periodic Assessment","Cancelled","","","","","",1,"","2901","HASTINGS",NA,"Street","Vancouver","Lower Mainland North","BC","",49.2838829,-123.0371171,NA,"12/1/1958","AM - Operating","Major Rides","Active","Pacific National Exhibition"
"10","AMOP-546811-2016","2041972","3/21/2016","3/15/2016","Cam Surine","AM","N","AMOP","AM Operating: Incident  Assessment","Passed","","","N/A - Not Applicable","Incident","",1,"","240","WILLINGDON",NA,"Avenue","Burnaby","Lower Mainland North","BC","V5C5E9",49.2832392,-123.0023265,NA,"7/23/1993","AM - Operating","Waterslide","Active","City Of Burnaby Parks Recreation and Cultural Services"
"11","AMOP-537888-2016","AM-339398-2016","3/3/2016","3/17/2016","David Looney","AM","Y","AMOP","AM Operating: Operational Assessment","Passed","2_Physical Inspection","","0 - Compliant","","",1,"","1319","Rosewell",NA,"Avenue","Langford","Vancouver Island","BC","V9B0J2",NA,NA,NA,"1/26/2016","AM - Operating","Waterslide","Active","Westhills Land Corp"
"12","AMOP-545958-2016","AM-368003-2016","3/18/2016","3/17/2016","David Looney","AM","Y","AMOP","AM Operating: Operational Assessment","Passed","2_Physical Inspection","","0 - Compliant","","",1,"","1319","Rosewell",NA,"Avenue","Langford","Vancouver Island","BC","V9B0J2",NA,NA,NA,"3/18/2016","AM - Operating","Waterslide","Active","Westhills Land Corp"
"13","AMIN-547151-2016","AM-320846-2015","3/21/2016","3/17/2016","Cam Surine","AM","Y","AMIN","AM Installation: Construction Assessment","Conditional Passed","","","1 - Insignificant","Checklist items","(60 Days) or prior to acceptance inspecti",1,"Non-Compliances for Amusement Devices Technology","4150","Columbia Valley",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"12/2/2015","AM - New Installation","Waterslide","Active","Cultus Lake Waterpark Ltd."
"14","AMOP-547963-2016","2042474","3/22/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","","(7 days) Car # 4 repair main center beari",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/9/1994","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"15","AMOP-549190-2016","2053166","3/24/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","2 - Minor","","(30 days) Provide BCSA with a copy of NDT",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"12/1/1977","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"16","AMOP-547959-2016","3808795","3/22/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","On this ride the seat belts are used as a secondary restraining device in the passenger cars, the lap bar is the primary restraining device.
During a periodic inspection of the Super Sizzler at its first set up for 2016, many of the seat belts were found","(1 day) Replace any worn seat belts, mult",1,"Non-Compliances for Amusement Devices Technology","6982","206",NA,"Street","Langley","Lower Mainland South","BC","V2Y1P9",49.1295575,-122.651562,NA,"7/3/2008","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"17","AMOP-548635-2016","2048343","3/23/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","On this ride safety restraining device has 4 springs that keep the restraining device closed, these springs must be replaced annually.
During a periodic inspection of the Spring Ride at its first set up for 2016 it was found that the restraining device sp","""(1 day) Service lap bar latches ( clean",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/11/2003","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"18","AMOP-547960-2016","2053216","3/22/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","2_Physical Inspection","","0 - Compliant","","",1,"","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"8/6/1985","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"19","AMOP-547315-2016","2044047","3/21/2016","3/22/2016","David Looney","AM","Y","AMOP","AM Operating: Operational Assessment","Passed","2_Physical Inspection","","0 - Compliant","","",1,"","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"6/6/1996","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"20","AMIN-547431-2016","UW-368752-2016","3/21/2016","3/22/2016","Cam Surine","AM","Y","AMIN","AM Installation: Construction Assessment","Conditional Passed","","","1 - Insignificant","","(30 Days) Obtain a British Columbia Safet",1,"Non-Compliances for Amusement Devices Technology","999","Canada Place, Vancouver Car S",NA,"","Vancouver","Lower Mainland North","BC","V6C3T4",NA,NA,NA,"3/21/2016","Unpermitted Work","AM","Active","Mannetron/Studio One Midwest"
"21","AMOP-548112-2016","2047664","3/22/2016","3/22/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","A limit switch which control the brake application of the passenger carrier had worked itself out of adjustment. This results in a condition in which a brake that restricts the rotation of the passenger carrier during load and unloading is not functional.","(1 days) or prior to public operations. P",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDAR",NA,"Road","Chilliwack","Lower Mainland South","BC","",49.1114779,-121.9558009,NA,"1/15/2002","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"22","AMOP-548235-2016","5254506","3/22/2016","3/23/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 1","(4 days) Ride fencing at back left side b",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDER",NA,"Road","Chilliwack","Lower Mainland South","BC","V2R5P5",49.1119489,-121.9546505,NA,"9/19/2012","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"23","AMOP-549808-2016","3759141","3/26/2016","3/23/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","","(14 days) Replace worn wiper seals on sho",1,"Non-Compliances for Amusement Devices Technology","6982","206",NA,"Street","Langley","Lower Mainland South","BC","V2Y1P9",49.1295575,-122.651562,NA,"4/24/2008","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"24","AMOP-547964-2016","2048336","3/22/2016","3/23/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","","(14 days) Ensure all required instruction",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/14/2003","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"25","AMOP-549180-2016","2044758","3/24/2016","3/23/2016","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","The electrical controls and wiring of an amusement ride must be in safe working condition.
During an inspection of this ride, the power cable to the control box was found to be in need of repair, additionally the circuit board inside the control box was f","(1 day) Car #5 repair seat belt, do not u",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"3/14/1997","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"26","AMOP-548494-2016","2045474","3/23/2016","3/23/2016","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","3 - Moderate","During a periodic inspection of the passenger restraint devices on the ride ( lap bars), a large crack in a structural weld on the restraint device was discovered. It appeared that the restraint device had received an impact that affected the weld. This i","(2 Days) or prior to use of this PCU seat",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49.1295575,-122.651562,NA,"4/9/1998","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"27","AMOP-548070-2016","4732099","3/22/2016","3/23/2016","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","During inspection it was noted that the nuts used to retain a bolt which is used to retain a head board (carpeted board) located above the riders head where missing at multiple locations. There is a risk that the nut less bolt could back out and the head","(1 days) or prior to public operations. B",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDER",NA,"Road","Chilliwack","Lower Mainland South","BC","V2R5P5",49.1119489,-121.9546505,NA,"5/3/2011","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"28","AMOP-548891-2016","3251949","3/23/2016","3/23/2016","Kevan McIntosh","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","4 - Major","It was observed that the operating control panel functions were not operating as indicated in the labelling of the switches. 
1) With the control power key switch in the ""off"" position it was possible to start the ride cycle. In this position the normal s","(1 days) prior to public operations. Trai",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDER",NA,"Road","Chilliwack","Lower Mainland South","BC","V2R5P5",49.1119489,-121.9546505,NA,"5/18/2006","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"29","AMOP-548994-2016","2047796","3/23/2016","3/23/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 1
see item 2","(7 days) Arm # 2 has weld crack on outer",1,"Non-Compliances for Amusement Devices Technology","6014","VEDDER",NA,"Road","Chilliwack","Lower Mainland South","BC","V2R5P5",49.1119489,-121.9546505,NA,"9/23/2003","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"30","AMOP-549012-2016","3730692","3/23/2016","3/24/2016","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 7","(2 days) Corner posts supporting ceiling,",1,"Non-Compliances for Amusement Devices Technology","45585","LUCKAKUCK",NA,"Way","Chilliwack","Lower Mainland South","BC","V2R1A3",49.1408558,-121.9622845,NA,"3/11/2008","AM - Operating","Major Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
